Breed,Name,Number
British Shorthair,Luna,644
Ragdoll,Luna,355
Bengal,Nala,163
Shorthair Tabby,Milo,136
Maine Coon,Luna,130
British Blue Shorthair,Luna,98
Shorthair Black,Luna,91
Shorthair Black And White,Oreo,89
Burmese Brown,Dodo,80
Shorthair Ginger,Simba,77
Russian Blue,Luna,76
Sphynx,Dobby,66
Shorthair Ginger And White,Simba,60
Shorthair Tortoiseshell,Luna,51
Birman,Apollo,51
Turkish Van Cat, Molly, 46
Siberian, Luna, 41
Longhair Tabby, Luna, 40
Bombay, Luna, 36
Longhair Ginger, Simba, 34
Longhair Black, Luna, 33
Snow Leopard Bengal, Luna, 33
Persian, Coco, 33
Exotic Shorthair, Houdini, 32
Birtish Short Hair- Tabby, Luna, 32
Burmese Red, Pebbles, 31
Norwegian Forest Cat, Bacchus, 29, 
British Black Shorthair, Luna, 29
Shorthair Red Tabby, Simba, 27
Shorthair Silver Tabby, Milo, 25
